Provincia,Periodo,Adultos,Jóvenes,Mayores,Todas las edades,Población Total,% Jóvenes,% Adultos,% Mayores
Segovia,2025,101759.0,17810.0,37694.0,158256.0,157263.0,11.3249779032576,64.70625639851714,23.968765698225265
Segovia,2026,102583.0,17576.0,38565.0,159728.0,158724.0,11.073309644414204,64.62979763614828,24.296892719437512
Sevilla,2024,1328819.0,271387.0,354429.0,1969130.0,1954635.0,13.884280185303139,67.9829738032932,18.132746011403665
Sevilla,2025,1337107.0,263603.0,363084.0,1978516.0,1963794.0,13.423149271257575,68.08794608803164,18.48890464071079
Sevilla,2026,1343177.0,256698.0,372772.0,1987509.0,1972647.0,13.012870523717623,68.09008403429505,18.89704544198734
Soria,2024,56434.0,10032.0,23215.0,90240.0,89681.0,11.186315942061306,62.92748742766027,25.88619663027843
Soria,2025,56846.0,9998.0,23501.0,90928.0,90345.0,11.066467430405668,62.92102495987603,26.0125076097183
Soria,2026,57234.0,9913.0,23877.0,91619.0,91024.0,10.890534364563193,62.87792230620496,26.231543329231847
Tarragona,2024,567979.0,116335.0,171513.0,862004.0,855827.0,13.593284624112117,66.36609969070852,20.040615685179365
Tarragona,2025,582516.0,115980.0,176924.0,881364.0,875420.0,13.24849786388248,66.54131731054808,20.210184825569442
Tarragona,2026,596555.0,114931.0,182700.0,900541.0,894186.0,12.853142411086733,66.71486692925185,20.431990659661412
Teruel,2024,85207.0,16120.0,33183.0,135485.0,134510.0,11.984239090030481,63.34621961192476,24.669541298044756
Teruel,2025,85762.0,16171.0,33769.0,136630.0,135702.0,11.916552445800356,63.198773783732,24.884673770467643
Teruel,2026,86281.0,16090.0,34467.0,137797.0,136838.0,11.758429675967202,63.053391601748054,25.188178722284743
Toledo,2024,493389.0,104874.0,137585.0,741256.0,735848.0,14.25212815690197,67.05039627749208,18.697475565605938
Toledo,2025,502776.0,104685.0,142126.0,754814.0,749587.0,13.965690440202405,67.07373527022213,18.96057428957546
Toledo,2026,511799.0,103652.0,146890.0,768146.0,762341.0,13.596540130991249,67.1351796636938,19.268280205314944
Total Nacional,2024,32263150.0,6090203.0,9927315.0,48610458.0,48280668.0,12.61416474187971,66.82415827386646,20.561676984253822
Total Nacional,2025,32736222.0,6009460.0,10188028.0,49265049.0,48933710.0,12.280818274355246,66.89912128060594,20.82006044503881
Total Nacional,2026,33181859.0,5930303.0,10462784.0,49910256.0,49574946.0,11.96229845615969,66.93271839368217,21.104983150158148
Valencia/València,2024,1812702.0,342587.0,536312.0,2709825.0,2691601.0,12.7280009184125,67.34660895132674,19.925390130260762
Valencia/València,2025,1847647.0,340549.0,551390.0,2758511.0,2739586.0,12.43067383173954,67.44256248936883,20.126763678891628
Valencia/València,2026,1881959.0,338477.0,566522.0,2806433.0,2786958.0,12.145034119638689,67.52735419765924,20.32761168270207
Valladolid,2024,332128.0,60008.0,129729.0,524998.0,521865.0,11.498759257662423,63.64251291042703,24.858727831910553
Valladolid,2025,332886.0,58850.0,132363.0,527249.0,524099.0,11.228794559806449,63.5158624610999,25.25534297909364
Valladolid,2026,333803.0,57437.0,134990.0,529420.0,526230.0,10.914809113885564,63.43290956425898,25.65228132185546
Zamora,2024,97894.0,13971.0,53733.0,166321.0,165598.0,8.43669609536347,59.11544825420597,32.44785565043056
Zamora,2025,96846.0,13683.0,54229.0,165505.0,164758.0,8.304907804173393,58.78075723181879,32.91433496400782
Zamora,2026,95781.0,13363.0,54836.0,164737.0,163980.0,8.149164532260032,58.410171972191726,33.440663495548236
Zaragoza,2024,639439.0,122363.0,216878.0,985245.0,978680.0,12.50286099644419,65.33688233130339,22.16025667225242
Zaragoza,2025,646826.0,120489.0,220888.0,994854.0,988203.0,12.192737726965005,65.45476992075515,22.352492352279846
Zaragoza,2026,653995.0,118639.0,225193.0,1004518.0,997827.0,11.889736397191095,65.54192259780504,22.568341005003873
Ávila,2024,99077.0,16989.0,43205.0,160182.0,159271.0,10.666725266997759,62.20655360988504,27.126721123117203
Ávila,2025,99436.0,16801.0,44112.0,161226.0,160349.0,10.477770363394844,62.01223581063805,27.50999382596711
Ávila,2026,99572.0,16488.0,45231.0,162249.0,161291.0,10.222517065428326,61.73438071560099,28.043102218970677
