CODIGO EUROPEO,NOMBRE,CATEGORÍA,DIRECCIÓN,ENTIDAD MATRIZ,CODIGO DE SUPERVISOR
ES3165,Caja Rural San Isidro de Vilafames S. Coop. de Crédito V.,Entidad de crédito,"AV DE BARCELÓ, 6, 12192, VILAFAMES",,3165
ES3119,Caja Rural San Jaime de Alquerías Niño Perdido S. Coop. de Crédito V.,Entidad de crédito,"CL JAIME CHICHARRO 24, 12539, ALQUERIAS DEL NIÑO PERDIDO",,3119
ES3113,Caja Rural San José de Alcora S. Coop. de Crédito V.,Entidad de crédito,"CL SAN FRANCISCO, 14, 12110, L' ALCORA",,3113
ES3130,"Caja Rural San José de Almassora, S. Coop. de Crédito V.",Entidad de crédito,"CL TRINIDAD, 20, 12550, ALMAZORA/ALMASSORA",,3130
ES3112,"Caja Rural San José de Burriana, S. Coop. de Crédito V.",Entidad de crédito,"PZ EL PLA, 1, 12530, BORRIANA/BURRIANA",,3112
ES3135,Caja Rural San José de Nules S. Coop. de Crédito V.,Entidad de crédito,"CL MAYOR, 66, 12520, NULES",,3135
ES3095,Caja Rural San Roque de Almenara S. Coop. de Crédito  V.,Entidad de crédito,"CL DR. BERENGUER, 4, 12590, ALMENARA",,3095
ES3058,"Cajamar Caja Rural, Sociedad Cooperativa de Crédito",Entidad de crédito,"PZ PUERTA DE ARCHENA, 10, 04001, ALMERÍA",,3058
ES3076,"Cajasiete, Caja Rural, Sociedad Cooperativa de Crédito",Entidad de crédito,"Av Manuel Hermoso Rojas, 8, 38003, Santa Cruz de Tenerife",,3076
ES0237,"Cajasur Banco, S.A.",Entidad de crédito,"AV. GRAN CAPITÁN, 11-13, 14008, CÓRDOBA",,237
ES8844,CASTELO CAPITAL EFC SA,Otra institución,"AVDA DIEGO MARTÍNEZ BARRIO, 4, 41013, SEVILLA",,8844
ES4706,"Caterpillar Financial Corporación Financiera, S.A., E.F.C.",Otra institución,"VÍA DE LAS DOS CASTILLAS, 33, 28224, POZUELO DE ALARCON",,4706
