Provincia,Sexo,Grupos de edad,Periodo,Total
Las Palmas,Ambos sexos,Total edades,2021,19.69
Pontevedra,Ambos sexos,Total edades,2023,12.38
Pontevedra,Ambos sexos,Total edades,2022,12.69
Pontevedra,Ambos sexos,Total edades,2021,8.74
La Rioja,Ambos sexos,Total edades,2023,20.22
La Rioja,Ambos sexos,Total edades,2022,20.94
La Rioja",Ambos sexos,Total edades,2021,15.23
Salamanca,Ambos sexos,Total edades,2023,16.12
Salamanca,Ambos sexos,Total edades,2022,16.97
Salamanca,Ambos sexos,Total edades,2021,11.57
Santa Cruz de Tenerife,Ambos sexos,Total edades,2023,30.4
Santa Cruz de Tenerife,Ambos sexos,Total edades,2022,31.04
Santa Cruz de Tenerife,Ambos sexos,Total edades,2021,23.49
Segovia,Ambos sexos,Total edades,2023,22.69
Segovia,Ambos sexos,Total edades,2022,23.1
Segovia,Ambos sexos,Total edades,2021,14.03
Sevilla,Ambos sexos,Total edades,2023,12.44
Sevilla,Ambos sexos,Total edades,2022,12.1
Sevilla,Ambos sexos,Total edades,2021,8.5
Soria,Ambos sexos,Total edades,2023,26.78
Soria,Ambos sexos,Total edades,2022,29.02
Soria,Ambos sexos,Total edades,2021,14.71
Tarragona,Ambos sexos,Total edades,2023,30.26
Tarragona,Ambos sexos,Total edades,2022,32.52
Tarragona,Ambos sexos,Total edades,2021,22.85
Teruel,Ambos sexos,Total edades,2023,20.51
Teruel,Ambos sexos,Total edades,2022,21.1
Teruel,Ambos sexos,Total edades,2021,13.05
Toledo,Ambos sexos,Total edades,2023,23.77
Toledo,Ambos sexos,Total edades,2022,24.54
Toledo,Ambos sexos,Total edades,2021,15.61
Valencia/València,Ambos sexos,Total edades,2023,32.38
Valencia/València,Ambos sexos,Total edades,2022,30.52
Valencia/València,Ambos sexos,Total edades,2021,20.73
Valladolid,Ambos sexos,Total edades,2023,15.91
Valladolid,Ambos sexos,Total edades,2022,14.72
Valladolid,Ambos sexos,Total edades,2021,9.55
Zamora,Ambos sexos,Total edades,2023,12.68
Zamora,Ambos sexos,Total edades,2022,11.65
Zamora,Ambos sexos,Total edades,2021,7.38
Zaragoza,Ambos sexos,Total edades,2023,23.14
Zaragoza,Ambos sexos,Total edades,2022,24.31
Zaragoza,Ambos sexos,Total edades,2021,15.36
Ceuta,Ambos sexos,Total edades,2023,9.67
Ceuta,Ambos sexos,Total edades,2022,10.81
Ceuta,Ambos sexos,Total edades,2021,9.37
Melilla,Ambos sexos,Total edades,2023,23.82
Melilla,Ambos sexos,Total edades,2022,23.62
Melilla,Ambos sexos,Total edades,2021,16.96
